sample,sampling,name,area,Rock_age,domain,field_pH,latitude_longitude,Rock_Sample_Name,Al_coarse_fraction_percent,Al_fine_fraction_percent,As_coarse_fraction_mg_kg,As_fine_fraction_mg_kg,Ba_coarse_fraction_mg_kg,Ba_fine_fraction_mg_kg,Be_coarse_fraction_mg_kg,Be_fine_fraction_mg_kg,Ca_coarse_fraction_percent,Ca_fine_fraction_percent,Cd_coarse_fraction_mg_kg,Cd_fine_fraction_mg_kg,Co_coarse_fraction_mg_kg,Co_fine_fraction_mg_kg,Cr_coarse_fraction_mg_kg,Cr_fine_fraction_mg_kg,Cu_coarse_fraction_mg_kg,Cu_fine_fraction_mg_kg,Fe_coarse_fraction_percent,Fe_fine_fraction_percent,Hg_coarse_fraction_mg_kg,Hg_fine_fraction_mg_kg,K_coarse_fraction_percent,K_fine_fraction_percent,Mg_coarse_fraction_percent,Mg_fine_fraction_percent,Mn_coarse_fraction_mg_kg,Mn_fine_fraction_mg_kg,Mo_coarse_fraction_mg_kg,Mo_fine_fraction_mg_kg,Na_coarse_fraction_percent,Na_fine_fraction_percent,Nb_coarse_fraction_mg_kg,Nb_fine_fraction_mg_kg,Ni_coarse_fraction_mg_kg,Ni_fine_fraction_mg_kg,P_coarse_fraction_mg_kg,P_fine_fraction_mg_kg,Pb_coarse_fraction_mg_kg,Pb_fine_fraction_mg_kg,S_coarse_fraction_percent,S_fine_fraction_percent,Sb_coarse_fraction_mg_kg,Sb_fine_fraction_mg_kg,Sc_coarse_fraction_mg_kg,Sc_fine_fraction_mg_kg,Si_coarse_fraction_percent,Si_fine_fraction_percent,Sn_coarse_fraction_mg_kg,Sn_fine_fraction_mg_kg,Sr_coarse_fraction_mg_kg,Sr_fine_fraction_mg_kg,Ti_coarse_fraction_mg_kg,Ti_fine_fraction_percent,V_coarse_fraction_mg_kg,V_fine_fraction_mg_kg,W_coarse_fraction_mg_kg,W_fine_fraction_mg_kg,Y_coarse_fraction_mg_kg,Y_fine_fraction_mg_kg,Zn_coarse_fraction_mg_kg,Zn_fine_fraction_mg_kg,Zr_coarse_fraction_mg_kg,Zr_fine_fraction_mg_kg,Unnacounted_coarse_fraction_percent,Unnacounted_fine_fraction_percent,LOI_coarse_fraction_mg_kg,LOI_fine_fraction_mg_kg,Fe_S_molar_ratio_coarse_fraction,Fe_S_molar_ratio_fine_fraction
P29902_1045,2,Bact.17.1,3,young,bacteria,10.71, 65° 4.298'N  18° 34.675'E,A317,6.72,5.17,17.3,10,394,323,0.992,0.962,0.954,0.236,3.42,2.01,6.38,4.88,25.4,12.5,336,257,3.69,2.73,0.26,0.0895,2.19,1.84,2.08,1.33,1030,727,8.26,7.55,0.212,0.0968,10.1,7.47,5.02,1,397,205,155,246,1.37,1.06,1.46,0.68,10,5.39,32.5,36.3,2.14,1.74,42.8,19.9,2240,0.156,19.8,8.75,6.31,1.82,26.1,16.9,943,573,194,154,50.3034742,49.17746415,3.88,2.53,1.545102425,1.481588558
P29902_1046,2,Bact.17.2,3,young,bacteria,10.98, 65° 4.298'N  18° 34.675'E,A317,6.72,5.17,17.3,10,394,323,0.992,0.962,0.954,0.236,3.42,2.01,6.38,4.88,25.4,12.5,336,257,3.69,2.73,0.26,0.0895,2.19,1.84,2.08,1.33,1030,727,8.26,7.55,0.212,0.0968,10.1,7.47,5.02,1,397,205,155,246,1.37,1.06,1.46,0.68,10,5.39,32.5,36.3,2.14,1.74,42.8,19.9,2240,0.156,19.8,8.75,6.31,1.82,26.1,16.9,943,573,194,154,50.3034742,49.17746415,3.88,2.53,1.545102425,1.481588558
P29902_1047,2,Bact.17.3,3,young,bacteria,10.62, 65° 4.298'N  18° 34.675'E,A317,6.72,5.17,17.3,10,394,323,0.992,0.962,0.954,0.236,3.42,2.01,6.38,4.88,25.4,12.5,336,257,3.69,2.73,0.26,0.0895,2.19,1.84,2.08,1.33,1030,727,8.26,7.55,0.212,0.0968,10.1,7.47,5.02,1,397,205,155,246,1.37,1.06,1.46,0.68,10,5.39,32.5,36.3,2.14,1.74,42.8,19.9,2240,0.156,19.8,8.75,6.31,1.82,26.1,16.9,943,573,194,154,50.3034742,49.17746415,3.88,2.53,1.545102425,1.481588558
P29902_1048,2,Arch.1.1,1,old,archaea,3.94, 65° 4.324'N  18° 34.599'E,A11,7.24,6.74,83.1,11.1,844,835,0.804,0.574,0.706,0.357,0.551,0.264,4.64,26.5,29,12,152,43,5.67,4.56,0.541,0.0908,1.44,1.43,3.38,2.99,516,406,6.46,4.08,1.56,2.81,8.57,6.79,7.69,3.36,604,402,237,27.9,0.501,2.03,3.66,0.438,13.7,14.1,30.7,33,2.15,1.61,138,93.3,3020,0.235,70,46.1,5.55,2.6,21.5,24.3,234,69.5,147,116,51.8119916,54.36666068,4.7,4.08,6.492273517,1.292229461
P29902_1049,2,Arch.1.2,1,old,archaea,3.64, 65° 4.324'N  18° 34.599'E,A11,7.24,6.74,83.1,11.1,844,835,0.804,0.574,0.706,0.357,0.551,0.264,4.64,26.5,29,12,152,43,5.67,4.56,0.541,0.0908,1.44,1.43,3.38,2.99,516,406,6.46,4.08,1.56,2.81,8.57,6.79,7.69,3.36,604,402,237,27.9,0.501,2.03,3.66,0.438,13.7,14.1,30.7,33,2.15,1.61,138,93.3,3020,0.235,70,46.1,5.55,2.6,21.5,24.3,234,69.5,147,116,51.8119916,54.36666068,4.7,4.08,6.492273517,1.292229461
P29902_1050,2,Arch.1.3,1,old,archaea,3.82, 65° 4.324'N  18° 34.599'E,A11,7.24,6.74,83.1,11.1,844,835,0.804,0.574,0.706,0.357,0.551,0.264,4.64,26.5,29,12,152,43,5.67,4.56,0.541,0.0908,1.44,1.43,3.38,2.99,516,406,6.46,4.08,1.56,2.81,8.57,6.79,7.69,3.36,604,402,237,27.9,0.501,2.03,3.66,0.438,13.7,14.1,30.7,33,2.15,1.61,138,93.3,3020,0.235,70,46.1,5.55,2.6,21.5,24.3,234,69.5,147,116,51.8119916,54.36666068,4.7,4.08,6.492273517,1.292229461
P29902_1051,2,Arch.2.1,1,old,archaea,2.92, 65° 4.330'N  18° 34.626'E,A12,6.8,5.73,151,11,1320,441,0.769,0.73,0.604,1.34,0.251,0.0532,5.02,7.81,39.1,29.2,83.2,15.9,5.57,3.94,0.631,0.0818,1.53,0.839,2.93,2.01,420,417,7.72,3.99,1.19,1.11,7.73,4.55,8.46,5.12,703,517,278,18,0.402,0.193,7.99,0.905,14.7,12.4,31.6,35.5,2.46,1.86,117,148,3120,0.314,68.7,95.4,9.69,2.09,20.8,13.5,136,29.6,133,82.6,51.2915221,51.161779,4.59,1.74,7.94841652,11.74382974
P29902_1052,2,Arch.2.2,1,old,archaea,4.13, 65° 4.330'N  18° 34.626'E,A12,6.8,5.73,151,11,1320,441,0.769,0.73,0.604,1.34,0.251,0.0532,5.02,7.81,39.1,29.2,83.2,15.9,5.57,3.94,0.631,0.0818,1.53,0.839,2.93,2.01,420,417,7.72,3.99,1.19,1.11,7.73,4.55,8.46,5.12,703,517,278,18,0.402,0.193,7.99,0.905,14.7,12.4,31.6,35.5,2.46,1.86,117,148,3120,0.314,68.7,95.4,9.69,2.09,20.8,13.5,136,29.6,133,82.6,51.2915221,51.161779,4.59,1.74,7.94841652,11.74382974
P29902_1053,2,Arch.2.3,1,old,archaea,3.77, 65° 4.330'N  18° 34.626'E,A12,6.8,5.73,151,11,1320,441,0.769,0.73,0.604,1.34,0.251,0.0532,5.02,7.81,39.1,29.2,83.2,15.9,5.57,3.94,0.631,0.0818,1.53,0.839,2.93,2.01,420,417,7.72,3.99,1.19,1.11,7.73,4.55,8.46,5.12,703,517,278,18,0.402,0.193,7.99,0.905,14.7,12.4,31.6,35.5,2.46,1.86,117,148,3120,0.314,68.7,95.4,9.69,2.09,20.8,13.5,136,29.6,133,82.6,51.2915221,51.161779,4.59,1.74,7.94841652,11.74382974
P29902_1054,2,Arch.3.1,1,old,archaea,2.72, 65° 4.342'N  18° 34.634'E,A13,1.55,1.02,619,520,36.8,22,0.963,0.641,0.0745,0.025,1.19,0.829,1.5,1.5,5,43.2,453,325,35.6,35.9,0.175,0.159,0.105,0.0528,0.14,0.0561,31.6,22.3,1.54,1.48,0.0533,0.0287,0.5,0.5,1,2.12,728,494,289,195,3.68,3.79,23.9,23.2,4.13,2.69,1.86,0.982,0.313,0.627,4.86,1.5,5,0.0005,9.37,16.4,0.5,0.5,6.82,5,244,147,12.4,12.8,43.3108561,42.0389446,28.4,28.2,5.549497429,5.449116237
P29902_1055,2,Arch.3.2,1,old,archaea,3.56, 65° 4.342'N  18° 34.634'E,A13,1.55,1.02,619,520,36.8,22,0.963,0.641,0.0745,0.025,1.19,0.829,1.5,1.5,5,43.2,453,325,35.6,35.9,0.175,0.159,0.105,0.0528,0.14,0.0561,31.6,22.3,1.54,1.48,0.0533,0.0287,0.5,0.5,1,2.12,728,494,289,195,3.68,3.79,23.9,23.2,4.13,2.69,1.86,0.982,0.313,0.627,4.86,1.5,5,0.0005,9.37,16.4,0.5,0.5,6.82,5,244,147,12.4,12.8,43.3108561,42.0389446,28.4,28.2,5.549497429,5.449116237
P29902_1056,2,Arch.3.3,1,old,archaea,3.61, 65° 4.342'N  18° 34.634'E,A13,1.55,1.02,619,520,36.8,22,0.963,0.641,0.0745,0.025,1.19,0.829,1.5,1.5,5,43.2,453,325,35.6,35.9,0.175,0.159,0.105,0.0528,0.14,0.0561,31.6,22.3,1.54,1.48,0.0533,0.0287,0.5,0.5,1,2.12,728,494,289,195,3.68,3.79,23.9,23.2,4.13,2.69,1.86,0.982,0.313,0.627,4.86,1.5,5,0.0005,9.37,16.4,0.5,0.5,6.82,5,244,147,12.4,12.8,43.3108561,42.0389446,28.4,28.2,5.549497429,5.449116237
P29902_1057,2,Arch.4.1,1,old,archaea,3.75, 65° 4.346'N  18° 34.651'E,A14,6.41,5.15,120,8.27,703,340,1.08,0.734,0.59,0.572,0.341,0.025,3.59,14.6,41.4,26.6,102,21.4,4.78,3.34,1.3,0.0934,1.79,0.584,3.15,1.36,378,177,9.04,3.19,1.19,1.77,8.97,4.75,9.2,3.83,454,280,587,29.9,0.551,1.91,17.9,1.26,10,9.31,31.8,37.4,2.68,0.826,112,143,2630,0.168,39,39.4,6.87,2.41,19.2,13.5,186,28.2,214,94.1,50.8266571,52.37823984,5.4,2.67,4.976543138,1.00596746
P29902_1058,2,Arch.4.2,1,old,archaea,4.32, 65° 4.346'N  18° 34.651'E,A14,6.41,5.15,120,8.27,703,340,1.08,0.734,0.59,0.572,0.341,0.025,3.59,14.6,41.4,26.6,102,21.4,4.78,3.34,1.3,0.0934,1.79,0.584,3.15,1.36,378,177,9.04,3.19,1.19,1.77,8.97,4.75,9.2,3.83,454,280,587,29.9,0.551,1.91,17.9,1.26,10,9.31,31.8,37.4,2.68,0.826,112,143,2630,0.168,39,39.4,6.87,2.41,19.2,13.5,186,28.2,214,94.1,50.8266571,52.37823984,5.4,2.67,4.976543138,1.00596746
P29902_1059,2,Arch.4.3,1,old,archaea,3.94, 65° 4.346'N  18° 34.651'E,A14,6.41,5.15,120,8.27,703,340,1.08,0.734,0.59,0.572,0.341,0.025,3.59,14.6,41.4,26.6,102,21.4,4.78,3.34,1.3,0.0934,1.79,0.584,3.15,1.36,378,177,9.04,3.19,1.19,1.77,8.97,4.75,9.2,3.83,454,280,587,29.9,0.551,1.91,17.9,1.26,10,9.31,31.8,37.4,2.68,0.826,112,143,2630,0.168,39,39.4,6.87,2.41,19.2,13.5,186,28.2,214,94.1,50.8266571,52.37823984,5.4,2.67,4.976543138,1.00596746
P29902_1060,2,Arch.5.1,1,old,archaea,4.43, 65° 4.356'N  18° 34.662'E,A15,6.32,5.12,126,18.3,741,701,0.602,0.25,0.363,0.141,0.866,0.135,1.5,12.8,26.8,15.2,174,25,4.51,3.07,0.67,0.22,1.51,1.11,3.66,3.42,310,210,12.4,5.09,0.713,0.3,8.24,6.29,5,2.86,379,236,362,47.9,0.541,1.31,10.5,1.57,10.9,9.02,31.4,36.3,2.06,1.25,69.2,25.7,2280,0.161,31.3,23.4,7.4,2.43,19.7,19.4,370,128,152,121,49.5271138,51.0932815,5.16,3.59,4.78223322,1.34814906
P29902_1061,2,Arch.5.2,1,old,archaea,4.06, 65° 4.356'N  18° 34.662'E,A15,6.32,5.12,126,18.3,741,701,0.602,0.25,0.363,0.141,0.866,0.135,1.5,12.8,26.8,15.2,174,25,4.51,3.07,0.67,0.22,1.51,1.11,3.66,3.42,310,210,12.4,5.09,0.713,0.3,8.24,6.29,5,2.86,379,236,362,47.9,0.541,1.31,10.5,1.57,10.9,9.02,31.4,36.3,2.06,1.25,69.2,25.7,2280,0.161,31.3,23.4,7.4,2.43,19.7,19.4,370,128,152,121,49.5271138,51.0932815,5.16,3.59,4.78223322,1.34814906
P29902_1062,2,Arch.5.3,1,old,archaea,4.19, 65° 4.356'N  18° 34.662'E,A15,6.32,5.12,126,18.3,741,701,0.602,0.25,0.363,0.141,0.866,0.135,1.5,12.8,26.8,15.2,174,25,4.51,3.07,0.67,0.22,1.51,1.11,3.66,3.42,310,210,12.4,5.09,0.713,0.3,8.24,6.29,5,2.86,379,236,362,47.9,0.541,1.31,10.5,1.57,10.9,9.02,31.4,36.3,2.06,1.25,69.2,25.7,2280,0.161,31.3,23.4,7.4,2.43,19.7,19.4,370,128,152,121,49.5271138,51.0932815,5.16,3.59,4.78223322,1.34814906
P29902_1063,2,Arch.6.1,1,old,archaea,4.5, 65° 4.364'N  18° 34.712'E,A16,7.1,6.32,184,22.1,710,531,0.952,0.743,0.518,1.21,0.952,0.37,5.04,6.46,19.1,5,250,52.7,5.83,3.22,1.46,0.0742,1.5,1.36,3.52,2.09,430,859,6.61,2.87,1.25,1.09,7.26,6.57,5.81,2.5,633,426,326,28.8,0.607,0.845,10.6,2.38,16.2,11.2,31.8,35.8,1.94,1.24,101,81,2880,0.226,67.8,45.2,5.89,2.77,20.9,20.2,346,114,125,130,52.7405514,52.39621772,4.89,2.98,5.509742963,2.192148629
P29902_1064,2,Arch.6.2,1,old,archaea,4.26, 65° 4.364'N  18° 34.712'E,A16,7.1,6.32,184,22.1,710,531,0.952,0.743,0.518,1.21,0.952,0.37,5.04,6.46,19.1,5,250,52.7,5.83,3.22,1.46,0.0742,1.5,1.36,3.52,2.09,430,859,6.61,2.87,1.25,1.09,7.26,6.57,5.81,2.5,633,426,326,28.8,0.607,0.845,10.6,2.38,16.2,11.2,31.8,35.8,1.94,1.24,101,81,2880,0.226,67.8,45.2,5.89,2.77,20.9,20.2,346,114,125,130,52.7405514,52.39621772,4.89,2.98,5.509742963,2.192148629
P29902_1065,2,Arch.6.3,1,old,archaea,4.73, 65° 4.364'N  18° 34.712'E,A16,7.1,6.32,184,22.1,710,531,0.952,0.743,0.518,1.21,0.952,0.37,5.04,6.46,19.1,5,250,52.7,5.83,3.22,1.46,0.0742,1.5,1.36,3.52,2.09,430,859,6.61,2.87,1.25,1.09,7.26,6.57,5.81,2.5,633,426,326,28.8,0.607,0.845,10.6,2.38,16.2,11.2,31.8,35.8,1.94,1.24,101,81,2880,0.226,67.8,45.2,5.89,2.77,20.9,20.2,346,114,125,130,52.7405514,52.39621772,4.89,2.98,5.509742963,2.192148629
P29902_1066,2,Arch.7.1,2,mid,archaea,5.43, 65° 4.136'N  18° 34.019'E,A27,6.2,5.82,34.6,4.97,679,543,0.784,0.773,0.448,0.436,0.118,0.025,3.6,10.6,18.6,15.7,64.2,8.59,4.11,3.86,0.469,0.258,1.34,0.867,2.22,3.07,304,232,9.78,8.14,1.28,1.08,7.57,6.34,4.94,3.67,243,113,267,28.2,0.753,1.97,16.8,1.93,14.4,9.14,33.5,35.5,1.97,1.18,97.5,62.3,3060,0.164,63.8,29.6,11.8,43.2,19.3,12.8,66.6,14.5,130,122,50.3629831,52.8941916,5.17,3.9,3.131109969,1.127176464
P29902_1067,2,Arch.7.2,2,mid,archaea,7.09, 65° 4.136'N  18° 34.019'E,A27,6.2,5.82,34.6,4.97,679,543,0.784,0.773,0.448,0.436,0.118,0.025,3.6,10.6,18.6,15.7,64.2,8.59,4.11,3.86,0.469,0.258,1.34,0.867,2.22,3.07,304,232,9.78,8.14,1.28,1.08,7.57,6.34,4.94,3.67,243,113,267,28.2,0.753,1.97,16.8,1.93,14.4,9.14,33.5,35.5,1.97,1.18,97.5,62.3,3060,0.164,63.8,29.6,11.8,43.2,19.3,12.8,66.6,14.5,130,122,50.3629831,52.8941916,5.17,3.9,3.131109969,1.127176464
P29902_1068,2,Arch.7.3,2,mid,archaea,6.1, 65° 4.136'N  18° 34.019'E,A27,6.2,5.82,34.6,4.97,679,543,0.784,0.773,0.448,0.436,0.118,0.025,3.6,10.6,18.6,15.7,64.2,8.59,4.11,3.86,0.469,0.258,1.34,0.867,2.22,3.07,304,232,9.78,8.14,1.28,1.08,7.57,6.34,4.94,3.67,243,113,267,28.2,0.753,1.97,16.8,1.93,14.4,9.14,33.5,35.5,1.97,1.18,97.5,62.3,3060,0.164,63.8,29.6,11.8,43.2,19.3,12.8,66.6,14.5,130,122,50.3629831,52.8941916,5.17,3.9,3.131109969,1.127176464
P29902_1069,2,Arch.8.1,2,mid,archaea,9.33, 65° 4.123'N  18° 34.022'E,A28,6.77,6.53,17.5,4.06,957,885,0.951,0.977,0.99,0.438,0.907,0.0501,6.92,4.37,20.2,25.2,69.8,9.92,4.22,2.85,0.135,0.0751,2.18,1.91,1.7,1.39,724,742,3.02,2.37,0.901,0.87,9.67,9.36,6.5,3.26,274,235,37,10.1,1.85,0.706,1.19,0.344,8.24,7.58,33.7,37.5,2.45,1.96,75.8,70.2,2040,0.18,16.5,11.4,4.49,1.2,22.7,20.8,268,76.6,175,187,52.7851973,52.60488262,3.72,1.86,1.308555652,2.322260806
P29902_1070,2,Arch.8.2,2,mid,archaea,9.46, 65° 4.123'N  18° 34.022'E,A28,6.77,6.53,17.5,4.06,957,885,0.951,0.977,0.99,0.438,0.907,0.0501,6.92,4.37,20.2,25.2,69.8,9.92,4.22,2.85,0.135,0.0751,2.18,1.91,1.7,1.39,724,742,3.02,2.37,0.901,0.87,9.67,9.36,6.5,3.26,274,235,37,10.1,1.85,0.706,1.19,0.344,8.24,7.58,33.7,37.5,2.45,1.96,75.8,70.2,2040,0.18,16.5,11.4,4.49,1.2,22.7,20.8,268,76.6,175,187,52.7851973,52.60488262,3.72,1.86,1.308555652,2.322260806
P29902_1071,2,Arch.8.3,2,mid,archaea,9.54, 65° 4.123'N  18° 34.022'E,A28,6.77,6.53,17.5,4.06,957,885,0.951,0.977,0.99,0.438,0.907,0.0501,6.92,4.37,20.2,25.2,69.8,9.92,4.22,2.85,0.135,0.0751,2.18,1.91,1.7,1.39,724,742,3.02,2.37,0.901,0.87,9.67,9.36,6.5,3.26,274,235,37,10.1,1.85,0.706,1.19,0.344,8.24,7.58,33.7,37.5,2.45,1.96,75.8,70.2,2040,0.18,16.5,11.4,4.49,1.2,22.7,20.8,268,76.6,175,187,52.7851973,52.60488262,3.72,1.86,1.308555652,2.322260806
P29902_1075,2,Arch.10.1,2,mid,archaea,8.55, 65° 4.122'N  18° 34.024'E,A210,6.89,6.05,52.1,17.5,732,804,0.531,0.25,0.341,0.329,9.45,2.07,14.2,8.46,28.2,27.5,363,162,10.6,4.71,5.23,1.16,1.79,1.6,4.01,2.97,771,576,6.46,4.13,0.298,0.3,9.54,7.73,14.7,8.58,437,286,662,164,10.5,3.79,6.48,2.42,10.7,7.95,23.4,33.9,2.34,1.56,65.2,64.2,2540,0.19,36,24.8,15.6,5.6,20.2,17.3,3070,789,177,141,58.7338931,54.151321,12.5,5.78,0.579119304,0.714911907
P29902_1076,2,Arch.10.2,2,mid,archaea,5.1, 65° 4.122'N  18° 34.024'E,A210,6.89,6.05,52.1,17.5,732,804,0.531,0.25,0.341,0.329,9.45,2.07,14.2,8.46,28.2,27.5,363,162,10.6,4.71,5.23,1.16,1.79,1.6,4.01,2.97,771,576,6.46,4.13,0.298,0.3,9.54,7.73,14.7,8.58,437,286,662,164,10.5,3.79,6.48,2.42,10.7,7.95,23.4,33.9,2.34,1.56,65.2,64.2,2540,0.19,36,24.8,15.6,5.6,20.2,17.3,3070,789,177,141,58.7338931,54.151321,12.5,5.78,0.579119304,0.714911907
P29902_1077,2,Arch.10.3,2,mid,archaea,5.76, 65° 4.122'N  18° 34.024'E,A210,6.89,6.05,52.1,17.5,732,804,0.531,0.25,0.341,0.329,9.45,2.07,14.2,8.46,28.2,27.5,363,162,10.6,4.71,5.23,1.16,1.79,1.6,4.01,2.97,771,576,6.46,4.13,0.298,0.3,9.54,7.73,14.7,8.58,437,286,662,164,10.5,3.79,6.48,2.42,10.7,7.95,23.4,33.9,2.34,1.56,65.2,64.2,2540,0.19,36,24.8,15.6,5.6,20.2,17.3,3070,789,177,141,58.7338931,54.151321,12.5,5.78,0.579119304,0.714911907
P29902_1078,2,Arch.11.1,orange,stream,archaea,4.1, 65° 4.334'N  18° 34.622'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29902_1079,2,Arch.12.1,yellow,stream,archaea,4.3, 65° 4.344'N  18° 34.604'E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29902_1080,2,Arch.13.1,3,young,archaea,7.83, 65° 4.298'N  18° 34.675'E,A313,6.74,5.82,21.7,11.3,438,288,1.17,0.961,0.937,0.546,3.2,0.138,9.84,9.1,30.9,27.6,418,47.2,4.39,3.32,0.811,0.025,2.3,1.63,2.11,1.51,809,666,10.8,5.82,0.266,0.587,8.97,6.48,7.41,4.83,482,443,99.2,12.5,2.43,1.36,1.36,0.376,9.66,10.4,32,33.8,2.14,1.32,52.2,91.4,2660,0.206,31.8,31.6,6.35,1.44,25.8,15.5,954,129,169,122,51.7983311,48.971599,4.57,2.85,1.036357803,1.404332701
P29902_1081,,Arch.13.2,3,young,archaea,8.01, 65° 4.298'N  18° 34.675'E,A313,6.74,5.82,21.7,11.3,438,288,1.17,0.961,0.937,0.546,3.2,0.138,9.84,9.1,30.9,27.6,418,47.2,4.39,3.32,0.811,0.025,2.3,1.63,2.11,1.51,809,666,10.8,5.82,0.266,0.587,8.97,6.48,7.41,4.83,482,443,99.2,12.5,2.43,1.36,1.36,0.376,9.66,10.4,32,33.8,2.14,1.32,52.2,91.4,2660,0.206,31.8,31.6,6.35,1.44,25.8,15.5,954,129,169,122,51.7983311,48.971599,4.57,2.85,1.036357803,1.404332701
P29902_1082,,Arch.13.3,3,young,archaea,8.31, 65° 4.298'N  18° 34.675'E,A313,6.74,5.82,21.7,11.3,438,288,1.17,0.961,0.937,0.546,3.2,0.138,9.84,9.1,30.9,27.6,418,47.2,4.39,3.32,0.811,0.025,2.3,1.63,2.11,1.51,809,666,10.8,5.82,0.266,0.587,8.97,6.48,7.41,4.83,482,443,99.2,12.5,2.43,1.36,1.36,0.376,9.66,10.4,32,33.8,2.14,1.32,52.2,91.4,2660,0.206,31.8,31.6,6.35,1.44,25.8,15.5,954,129,169,122,51.7983311,48.971599,4.57,2.85,1.036357803,1.404332701
P29902_1083,,Arch.14.1,3,young,archaea,9.13, 65° 4.298'N  18° 34.675'E,A314,6.53,5.86,16.1,11,432,414,0.935,0.831,0.757,0.334,2.2,0.182,9.87,6.87,20.1,10.4,104,40.1,3.93,3.53,0.125,0.122,2.73,2.06,1.49,1.32,716,622,10.4,9.09,0.164,0.0965,8.44,7.63,6.98,5.14,463,393,97.5,12.7,2.19,1.84,1.11,0.428,11.6,8.86,31.9,36,2.19,1.8,39.7,22.4,2410,0.213,30.5,20.8,3.42,1.94,25.6,20.2,712,165,156,138,50.218977,51.4447493,4.15,3.16,1.029437325,1.10364072
P29902_1084,,Arch.14.2,3,young,archaea,8.92, 65° 4.298'N  18° 34.675'E,A314,6.53,5.86,16.1,11,432,414,0.935,0.831,0.757,0.334,2.2,0.182,9.87,6.87,20.1,10.4,104,40.1,3.93,3.53,0.125,0.122,2.73,2.06,1.49,1.32,716,622,10.4,9.09,0.164,0.0965,8.44,7.63,6.98,5.14,463,393,97.5,12.7,2.19,1.84,1.11,0.428,11.6,8.86,31.9,36,2.19,1.8,39.7,22.4,2410,0.213,30.5,20.8,3.42,1.94,25.6,20.2,712,165,156,138,50.218977,51.4447493,4.15,3.16,1.029437325,1.10364072
P29902_1085,,Arch.14.3,3,young,archaea,9.98, 65° 4.298'N  18° 34.675'E,A314,6.53,5.86,16.1,11,432,414,0.935,0.831,0.757,0.334,2.2,0.182,9.87,6.87,20.1,10.4,104,40.1,3.93,3.53,0.125,0.122,2.73,2.06,1.49,1.32,716,622,10.4,9.09,0.164,0.0965,8.44,7.63,6.98,5.14,463,393,97.5,12.7,2.19,1.84,1.11,0.428,11.6,8.86,31.9,36,2.19,1.8,39.7,22.4,2410,0.213,30.5,20.8,3.42,1.94,25.6,20.2,712,165,156,138,50.218977,51.4447493,4.15,3.16,1.029437325,1.10364072
P29902_1086,,Arch.15.1,3,young,archaea,9.73, 65° 4.298'N  18° 34.675'E,A315,6.65,4.81,17.4,8.96,405,295,1,0.746,0.837,0.14,3.06,2.1,8.69,5.68,19.4,19.2,276,123,3.86,3.03,0.284,0.317,2.22,1.72,1.95,1.18,846,561,9.42,7.19,0.195,0.0857,8.84,5.4,8.43,4.92,435,224,83.3,24.9,1.85,1.5,1.29,0.446,10.2,5.6,32.5,36.6,1.89,1.52,45.4,22.5,2390,0.146,30,13.5,12.1,7.79,25.4,15.4,922,833,169,122,50.6349104,49.4421169,3.97,2.55,1.196925312,1.162043011
P29902_1087,,Arch.15.2,3,young,archaea,9.49, 65° 4.298'N  18° 34.675'E,A315,6.65,4.81,17.4,8.96,405,295,1,0.746,0.837,0.14,3.06,2.1,8.69,5.68,19.4,19.2,276,123,3.86,3.03,0.284,0.317,2.22,1.72,1.95,1.18,846,561,9.42,7.19,0.195,0.0857,8.84,5.4,8.43,4.92,435,224,83.3,24.9,1.85,1.5,1.29,0.446,10.2,5.6,32.5,36.6,1.89,1.52,45.4,22.5,2390,0.146,30,13.5,12.1,7.79,25.4,15.4,922,833,169,122,50.6349104,49.4421169,3.97,2.55,1.196925312,1.162043011
P29902_1088,,Arch.15.3,3,young,archaea,10.52, 65° 4.298'N  18° 34.675'E,A315,6.65,4.81,17.4,8.96,405,295,1,0.746,0.837,0.14,3.06,2.1,8.69,5.68,19.4,19.2,276,123,3.86,3.03,0.284,0.317,2.22,1.72,1.95,1.18,846,561,9.42,7.19,0.195,0.0857,8.84,5.4,8.43,4.92,435,224,83.3,24.9,1.85,1.5,1.29,0.446,10.2,5.6,32.5,36.6,1.89,1.52,45.4,22.5,2390,0.146,30,13.5,12.1,7.79,25.4,15.4,922,833,169,122,50.6349104,49.4421169,3.97,2.55,1.196925312,1.162043011
P29902_1089,,Arch.16.1,3,young,archaea,10.52, 65° 4.298'N  18° 34.675'E,A316,6.56,5.98,22.5,14.2,414,372,1.07,0.86,0.816,0.228,2.93,0.574,8.61,7.33,24.6,19.8,380,124,3.92,3.48,0.46,0.0537,2.19,2.26,2,1.38,843,601,10.2,8.97,0.227,0.108,9.26,7.64,6.14,7.04,405,362,90.2,21.3,1.9,2.09,1.29,0.436,10.7,8.09,32.8,34.2,2.15,1.94,46.2,25.9,2340,0.198,26.2,18.8,5.12,2.14,24.8,18.6,847,133,176,147,50.982743,50.11426737,3.99,3.36,1.183542728,0.957863868
